region,Top_Sport,Medal_Count
USA,Athletics,1009
Germany,Rowing,395
Russia,Athletics,370
Australia,Swimming,351
Canada,Ice Hockey,281
UK,Athletics,255
Netherlands,Hockey,201
Sweden,Ice Hockey,189
Italy,Fencing,181
France,Fencing,176
Finland,Ice Hockey,174
Romania,Rowing,167
Czech Republic,Ice Hockey,159
Japan,Gymnastics,158
Hungary,Fencing,158
Jamaica,Athletics,153
Brazil,Football,131
Serbia,Water Polo,129
Norway,Cross Country Skiing,127
Cuba,Baseball,111
China,Gymnastics,109
Pakistan,Hockey,106
Kenya,Athletics,94
Austria,Alpine Skiing,83
India,Hockey,82
Argentina,Hockey,81
Poland,Fencing,79
South Korea,Handball,78
Spain,Hockey,71
Bulgaria,Wrestling,65
New Zealand,Rowing,64
Switzerland,Bobsleigh,63
Ethiopia,Athletics,53
Denmark,Sailing,52
Nigeria,Football,48
Turkey,Wrestling,40
Croatia,Handball,40
Iran,Wrestling,38
Bahamas,Athletics,36
Lithuania,Basketball,35
Trinidad,Athletics,33
Slovakia,Canoeing,32
Indonesia,Badminton,25
Greece,Athletics,24
South Africa,Athletics,24
Azerbaijan,Wrestling,23
Belarus,Canoeing,22
Kazakhstan,Boxing,21
Ukraine,Athletics,21
Taiwan,Baseball,20
Morocco,Athletics,19
Georgia,Wrestling,18
Paraguay,Football,17
Chile,Football,16
Belgium,Hockey,16
Mexico,Football,15
Zimbabwe,Hockey,15
Montenegro,Handball,14
Cameroon,Football,14
North Korea,Weightlifting,14
Uzbekistan,Boxing,14
Uruguay,Football,14
Iceland,Handball,14
Thailand,Boxing,14
Fiji,Rugby Sevens,13
Peru,Volleyball,12
Malaysia,Badminton,12
Ireland,Boxing,11
Slovenia,Rowing,11
Portugal,Athletics,10
Mongolia,Wrestling,9
Algeria,Athletics,9
Latvia,Luge,9
Armenia,Wrestling,8
Liechtenstein,Alpine Skiing,8
Estonia,Rowing,7
Venezuela,Boxing,6
Colombia,Weightlifting,6
Puerto Rico,Boxing,5
Individual Olympic Athletes,Shooting,5
Tunisia,Athletics,5
Philippines,Boxing,4
Namibia,Athletics,4
Saudi Arabia,Equestrianism,4
Costa Rica,Swimming,4
Uganda,Boxing,4
Bahrain,Athletics,3
Qatar,Athletics,3
Israel,Sailing,3
Panama,Athletics,3
Ghana,Boxing,3
Dominican Republic,Athletics,3
Egypt,Boxing,3
Vietnam,Shooting,2
Tanzania,Athletics,2
Suriname,Swimming,2
Afghanistan,Taekwondo,2
Kuwait,Shooting,2
Mozambique,Athletics,2
Moldova,Weightlifting,2
Ecuador,Athletics,2
Luxembourg,Alpine Skiing,2
Kyrgyzstan,Wrestling,2
Grenada,Athletics,2
Ivory Coast,Taekwondo,2
Burundi,Athletics,2
United Arab Emirates,Shooting,1
Eritrea,Athletics,1
Djibouti,Athletics,1
Cyprus,Sailing,1
Niger,Taekwondo,1
Botswana,Athletics,1
Bermuda,Boxing,1
Barbados,Athletics,1
"Virgin Islands, US",Sailing,1
Zambia,Athletics,1
Gabon,Taekwondo,1
Guyana,Boxing,1
Guatemala,Athletics,1
Tonga,Boxing,1
Togo,Canoeing,1
Senegal,Athletics,1
Haiti,Athletics,1
Tajikistan,Athletics,1
Syria,Boxing,1
Jordan,Taekwondo,1
Kosovo,Judo,1
Sudan,Athletics,1
Sri Lanka,Athletics,1
Macedonia,Wrestling,1
Mauritius,Boxing,1
Lebanon,Weightlifting,1
